Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
[Airborne spreading for patients suffering severe coronavirus disease-2019 with different oxygen therapies],"Wang, C. Y.; Jiang, W.; Xia, Y.; Weng, L.; Du, B.",,2020,,Zhonghua nei ke za zhi,59,0,E010-E010,,10.3760/cma.j.cn112138-20200318-00254,19448,#94582,Wang 2020,,,94582,22-04-20
[Thoughts of the COVID-19 outbreak phases changed from emergency response to combination of emergency response and regular prevention and control],"Yang, W. Z.","Given the scope and speed of virus spread, the COVID-19 pandemic is complex and dangerous. Complicated objective factors such as the long-term existence of source of infection, difficulty in completely blocking the transmission route and a large susceptible population determined that the COVID-19 pandemic might stay with us for long term. Therefore, we should be ready for a tough and long battle against the COVID-19 epidemic. The strategy should adhere to the principle of combining emergency response with regular prevention and control measures, and all efforts should be well harnessed in a coordinated way to keep the epidemic under control while securing the economic and social development.",2020,,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,41,0,E045-E045,,10.3760/cma.j.cn112338-20200404-00516,19258,#94588,Yang 2020,,,94588,22-04-20
[Clinical features and outcome of treatment for novel coronavirus pneumonia: a meta-analysis],"Wu, Y. Y.; Li, H. Y.; Xu, X. B.; Zheng, K. X.; Qi, X. S.; Guo, X. Z.","Objective: To investigate the clinical features and outcome of treatment for novel coronavirus pneumonia. Methods: Literature on novel coronavirus pneumonia was retrieved from PubMed and EMBASE databases. The relevant data was extracted and a meta-analysis was performed using StatsDirect statistical software V.2.8.0 to calculate the combined odds ratio. Results: Seven studies were included, consisting of 1594 cases. The meta-analysis result showed that the most common clinical symptoms of the novel coronavirus pneumonia were fever (91.6%) and cough (64.5%), followed by dyspnea (32.8%) and sputum (28.1%). Headache (10.5%), sore throat (11.2%), hemoptysis (3.2%), diarrhea (6.6%) and the other symptoms were relatively rare. Aspartate aminotransferase (29%), alanine transaminase (22.7%), and total bilirubin (11.7%) levels were elevated, except for serum albumin levels (80.4%). The common therapeutic agents used were antibiotics (87.7%), antiviral drugs (75.5%), and glucocorticoids (26.6%), while antifungal agents (7.7%) were used in few. Mechanical ventilation (13.4%), extracorporeal membrane oxygenation (1.9%), and continuous renal replacement therapy (3.8%) were used in severe cases. The rate of mortality in hospital was 7.7%, respectively. Heterogeneity between studies was significant; however, subgroup and sensitivity analysis had failed to identify clear sources of heterogeneity. Conclusion: Fever, cough and liver dysfunction are the main clinical manifestations of this disease and the mortality rate is low.",2020,,Zhonghua Gan Zang Bing Za Zhi,,,,32306657,10.3760/cma.j.cn501113-20200224-00067,20466,#94670,Wu 2020,,,94670,22-04-20
[Clinical consideration and management of coronavirus disease 2019],"Ma, K.; Chen, T.; Han, M. F.; Guo, W.; Ning, Q.","Coronavirus disease 2019 (COVID-19) outbreak in Wuhan city, Hubei province in December 2019 and the epidemic so rapidly happened within the whole country and abroad, raising serious problems and urgent concerns, such as: how to control most effectively human-to-human transmission? When does infection rate rise to its peak? What will eventually be the number of infected patients? How to make early diagnosis? What effective antiviral drugs are available? How to use the existing drugs to achieve the best effect? Can available drugs effectively improve the survival rate of critical patients? In view of the above questions, this article now puts forwards the corresponding suggestions and considerations from the perspective of clinical infectious diseases physician.",2020,,Zhonghua Gan Zang Bing Za Zhi,,,,32306656,10.3760/cma.j.cn50113-20200220-00056,20467,#94673,Ma 2020,,,94673,22-04-20
"[The protocol for prevention, diagnosis and treatment of liver injury in coronavirus disease 2019]",,,2020,,Zhonghua Gan Zang Bing Za Zhi,,,,32306655,10.3760/cma.j.cn501113-20200309-00095,20468,#94677,,,,94677,22-04-20
Does COVID-19 affect male fertility?,"Abobaker, Anis; Raba, Ali Ahmed",,2020,,World Journal of Urology 2020,,,01-Feb,,10.1007/S00345-020-03208-W,19570,#94708,Abobaker 2020,,,94708,22-04-20
"Prevention and control strategies for emergency, limited-term, and elective operations in pediatric surgery during the epidemic period of COVID-19","Tang, D.; Tou, J.; Wang, J.; Chen, Q.; Wang, W.; Huang, J.; Zhao, H.; Wei, J.; Xu, Z.; Zhao, D.; Fu, J.; Shu, Q.","The outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has spread to more than 100 countries. Children approved to be susceptible to SARS-CoV-2 infection. Preventing and controlling the epidemic while ensuring orderly flows of pediatric surgery clinical work has proven to be a big challenge for both patients and clinicians during the epidemic. Based on the transmission characteristics of SARS-CoV-2 and the requirements for prevention and control of COVID-19, the authors proposed some concrete measures and practical strategies of managing emergency, limited-term, and elective pediatric surgeries during the epidemic period.",2020,,World Journal of Pediatric Surgery,3,1,,,10.1136/wjps-2020-000122,20130,#94709,Tang 2020,,,94709,22-04-20
Keep Your Community Safe While COVID-19 Spreads Globally,"Sutton, Halley",,2020,,Women in Higher Education,29,5,Dec-15,,10.1002/whe.20848,19420,#94727,Sutton 2020,,,94727,22-04-20
Women's Emotional Labor in Higher Ed and the COVID-19 Crisis,"Costa, Karen",,2020,,Women in Higher Education,29,5,13-15,,10.1002/whe.20849,19449,#94730,Costa 2020,,,94730,22-04-20
The Juggle Is Unreal,"Baker, Kelly J.",,2020,,Women in Higher Education,29,5,16-16,,10.1002/whe.20850,19483,#94731,Baker 2020,,,94731,22-04-20
Resources to Assist Your Campus With COVID-19,,,2020,,Women in Higher Education,29,5,03-Mar,,10.1002/whe.20840,19438,#94733,,,,94733,22-04-20
Coronavirus disease 2019 (COVID-19) and decrease in blood donation: experience of Iranian Blood Transfusion Organization (IBTO),"Mohammadi, Saeed; Tabatabaei Yazdi, Seyed Morteza; Eshghi, Peyman; Norooznezhad, Amir Hossein",,2020,,Vox Sang,,,,32270880,10.1111/vox.12930,22572,#94753,Mohammadi 2020,,,94753,22-04-20
Orf Virus <i>VIR</i> Antagonizes p53-Mediated Antiviral Effects to Facilitate Viral Replication,"Yan, Ming-Hao; Wang, Ling-Ling; Hao, Jun-Hong; Zhang, Xue-Gang; Shen, Chao-Chao; Zhang, Da-Jun; Zheng, Hai-Xue; Liu, Xiang-Tao; Zhang, Ke-Shan","As a zoonotic disease, ovine contagious pustular dermatitis (Orf) is a serious threat to sheep as well as humans. Orf virus (ORFV) interferon resistance protein (VIR) is the principal virulence pro...",2020,,Viral Immunology,,,vim.2019.0189-vim.2019.0189,,10.1089/vim.2019.0189,19631,#94792,Yan 2020,,,94792,22-04-20
Is COVID-19 the first pandemic that evolves into a panzootic?,"Gollakner, Rania; Capua, Ilaria","SARS-CoV-2 is a zoonotic virus that has achieved community spread among humans and become a pandemic. Transmission from humans to dogs, domestic cats, tigers, and lions has occurred. Pigs, cats, ferrets, and primates have been identified as good candidates for susceptibility to SARS-CoV-2. The potential implications indicate the need for One Health surveillance, intervention, and management strategies to mitigate the effects on animal populations and prevent a second preparedness failure during this health emergency.",2020,,Veterinaria italiana,,,,,10.12834/VetIt.2246.12523.1,19336,#94796,Gollakner 2020,,,94796,22-04-20
Society for Vascular Medicine (SVM) Leaders Respond to the COVID-19 Crisis,Nice,,2020,,Vascular Medicine,369,,1358863X2092277-1358863X2092277,,10.1177/1358863X20922772,19531,#94828,Nice 2020,,,94828,22-04-20
Telemedicine and eConsults for hospitalized patients during COVID-19,"Gadzinski, Adam J.; Andino, Juan J.; Odisho, Anobel Y.; Watts, Kara L.; Gore, John L.; Ellimoottil, Chad",,2020,,Urology,,,,,https://doi.org/10.1016/j.urology.2020.04.061,19628,#94835,Gadzinski 2020,,,94835,22-04-20
