Date,Series,Value
2020-03-19 00:00:00,Volume Intensity,0.3102
2020-03-19 00:15:00,Volume Intensity,1.0481
2020-03-19 00:30:00,Volume Intensity,0.5772
2020-03-19 00:45:00,Volume Intensity,0.5732
2020-03-19 01:00:00,Volume Intensity,0.9521
2020-03-19 01:15:00,Volume Intensity,1.1247
2020-03-19 01:30:00,Volume Intensity,1.5118
2020-03-19 01:45:00,Volume Intensity,0.358
2020-03-19 02:00:00,Volume Intensity,0.4767
2020-03-19 02:15:00,Volume Intensity,0.7975
2020-03-19 02:30:00,Volume Intensity,0.6876
2020-03-19 02:45:00,Volume Intensity,1.1089
2020-03-19 03:00:00,Volume Intensity,1.2134
2020-03-19 03:15:00,Volume Intensity,0.3631
2020-03-19 03:30:00,Volume Intensity,0.3703
2020-03-19 03:45:00,Volume Intensity,0.2155
2020-03-19 04:00:00,Volume Intensity,1.0154
2020-03-19 04:15:00,Volume Intensity,0.4137
2020-03-19 04:30:00,Volume Intensity,0.3542
2020-03-19 04:45:00,Volume Intensity,0.4918
2020-03-19 05:00:00,Volume Intensity,1.7194
2020-03-19 05:15:00,Volume Intensity,0.5205
2020-03-19 05:30:00,Volume Intensity,0.7574
2020-03-19 05:45:00,Volume Intensity,1.3167
2020-03-19 06:00:00,Volume Intensity,1.1321
2020-03-19 06:15:00,Volume Intensity,0.5525
2020-03-19 06:30:00,Volume Intensity,0.8576
2020-03-19 06:45:00,Volume Intensity,0.2023
2020-03-19 07:00:00,Volume Intensity,0.541
2020-03-19 07:15:00,Volume Intensity,1.2456
2020-03-19 07:30:00,Volume Intensity,0.88
2020-03-19 07:45:00,Volume Intensity,1.0237
2020-03-19 08:00:00,Volume Intensity,0.9694
2020-03-19 08:15:00,Volume Intensity,1.2058
2020-03-19 08:30:00,Volume Intensity,0.2445
2020-03-19 08:45:00,Volume Intensity,1.3135
2020-03-19 09:00:00,Volume Intensity,0.7968
2020-03-19 09:15:00,Volume Intensity,0.5624
2020-03-19 09:30:00,Volume Intensity,0.8997
2020-03-19 09:45:00,Volume Intensity,0.8055
2020-03-19 10:15:00,Volume Intensity,0.5988
2020-03-19 10:30:00,Volume Intensity,0.9714
2020-03-19 10:45:00,Volume Intensity,0.8457
2020-03-19 11:00:00,Volume Intensity,1.1209
2020-03-19 11:15:00,Volume Intensity,0.9612
2020-03-19 11:30:00,Volume Intensity,0.4977
2020-03-19 11:45:00,Volume Intensity,0.548
2020-03-19 12:00:00,Volume Intensity,0.8252
2020-03-19 12:15:00,Volume Intensity,0.8729
2020-03-19 12:30:00,Volume Intensity,0.9359
2020-03-19 12:45:00,Volume Intensity,0.8083
2020-03-19 13:00:00,Volume Intensity,1.0465
2020-03-19 13:15:00,Volume Intensity,0.8186
2020-03-19 13:30:00,Volume Intensity,0.8067
2020-03-19 13:45:00,Volume Intensity,0.9064
2020-03-19 14:00:00,Volume Intensity,1.0391
2020-03-19 14:15:00,Volume Intensity,1.021
2020-03-19 14:30:00,Volume Intensity,0.6791
2020-03-19 14:45:00,Volume Intensity,0.6822
2020-03-19 15:00:00,Volume Intensity,0.7506
2020-03-19 15:15:00,Volume Intensity,0.4475
2020-03-19 15:30:00,Volume Intensity,0.5656
2020-03-19 15:45:00,Volume Intensity,0.6574
2020-03-19 16:00:00,Volume Intensity,0.823
2020-03-19 16:15:00,Volume Intensity,0.8752
2020-03-19 16:30:00,Volume Intensity,0.6639
2020-03-19 16:45:00,Volume Intensity,0.7522
2020-03-19 17:00:00,Volume Intensity,0.9081
2020-03-19 17:15:00,Volume Intensity,0.7581
2020-03-19 17:30:00,Volume Intensity,0.4608
2020-03-19 17:45:00,Volume Intensity,0.787
2020-03-19 18:00:00,Volume Intensity,0.7948
2020-03-19 18:15:00,Volume Intensity,0.4793
2020-03-19 18:30:00,Volume Intensity,1.1501
2020-03-19 18:45:00,Volume Intensity,0.556
2020-03-19 19:00:00,Volume Intensity,0.6585
2020-03-19 19:15:00,Volume Intensity,0.9481
2020-03-19 19:30:00,Volume Intensity,0.9138
2020-03-19 19:45:00,Volume Intensity,0.8364
2020-03-19 20:00:00,Volume Intensity,0.4511
2020-03-19 20:15:00,Volume Intensity,1.0238
2020-03-19 20:30:00,Volume Intensity,0.561
2020-03-19 20:45:00,Volume Intensity,1.0058
2020-03-19 21:00:00,Volume Intensity,0.498
2020-03-19 21:15:00,Volume Intensity,0.6608
2020-03-19 21:30:00,Volume Intensity,0.3374
2020-03-19 21:45:00,Volume Intensity,0.9032
2020-03-19 22:00:00,Volume Intensity,0.528
2020-03-19 22:15:00,Volume Intensity,0.4379
2020-03-19 22:30:00,Volume Intensity,0.7827
2020-03-19 22:45:00,Volume Intensity,0.7508
2020-03-19 23:00:00,Volume Intensity,0.898
2020-03-19 23:15:00,Volume Intensity,0.7574
2020-03-19 23:30:00,Volume Intensity,0.5438
2020-03-19 23:45:00,Volume Intensity,0.8694
