Date,Series,Value
2020-03-31 00:00:00,Volume Intensity,1.7334
2020-03-31 00:15:00,Volume Intensity,0.5102
2020-03-31 00:30:00,Volume Intensity,0.3124
2020-03-31 00:45:00,Volume Intensity,0.5899
2020-03-31 01:00:00,Volume Intensity,0.6623
2020-03-31 01:15:00,Volume Intensity,1.0054
2020-03-31 01:30:00,Volume Intensity,0.2325
2020-03-31 01:45:00,Volume Intensity,0.2873
2020-03-31 02:00:00,Volume Intensity,0.3319
2020-03-31 02:15:00,Volume Intensity,1.1188
2020-03-31 02:30:00,Volume Intensity,0.9995
2020-03-31 02:45:00,Volume Intensity,1.0428
2020-03-31 03:00:00,Volume Intensity,0.6013
2020-03-31 03:15:00,Volume Intensity,0.325
2020-03-31 03:30:00,Volume Intensity,0.6361
2020-03-31 03:45:00,Volume Intensity,1.3326
2020-03-31 04:00:00,Volume Intensity,0.5027
2020-03-31 04:15:00,Volume Intensity,0.3651
2020-03-31 04:30:00,Volume Intensity,0.9809
2020-03-31 04:45:00,Volume Intensity,1.269
2020-03-31 05:00:00,Volume Intensity,0.5464
2020-03-31 05:15:00,Volume Intensity,0.9172
2020-03-31 05:30:00,Volume Intensity,0.7022
2020-03-31 05:45:00,Volume Intensity,0.8782
2020-03-31 06:00:00,Volume Intensity,0.5042
2020-03-31 06:15:00,Volume Intensity,0.9181
2020-03-31 06:30:00,Volume Intensity,1.277
2020-03-31 06:45:00,Volume Intensity,1.2859
2020-03-31 07:00:00,Volume Intensity,1.4486
2020-03-31 07:15:00,Volume Intensity,0.8723
2020-03-31 07:30:00,Volume Intensity,0.8797
2020-03-31 07:45:00,Volume Intensity,0.7614
2020-03-31 08:00:00,Volume Intensity,0.6796
2020-03-31 08:15:00,Volume Intensity,0.501
2020-03-31 08:30:00,Volume Intensity,0.6583
2020-03-31 08:45:00,Volume Intensity,0.7694
2020-03-31 09:00:00,Volume Intensity,0.9764
2020-03-31 09:15:00,Volume Intensity,0.8403
2020-03-31 09:30:00,Volume Intensity,1.0355
2020-03-31 09:45:00,Volume Intensity,1.1305
2020-03-31 10:00:00,Volume Intensity,0.7553
2020-03-31 10:15:00,Volume Intensity,0.7358
2020-03-31 10:30:00,Volume Intensity,1.0447
2020-03-31 10:45:00,Volume Intensity,1.1331
2020-03-31 11:00:00,Volume Intensity,0.5098
2020-03-31 11:15:00,Volume Intensity,0.8926
2020-03-31 11:30:00,Volume Intensity,0.9049
2020-03-31 11:45:00,Volume Intensity,1.0603
2020-03-31 12:00:00,Volume Intensity,0.9889
2020-03-31 12:15:00,Volume Intensity,0.8235
2020-03-31 12:30:00,Volume Intensity,1.2229
2020-03-31 12:45:00,Volume Intensity,0.822
2020-03-31 13:00:00,Volume Intensity,0.9034
2020-03-31 13:15:00,Volume Intensity,0.9848
2020-03-31 13:30:00,Volume Intensity,1.2192
2020-03-31 13:45:00,Volume Intensity,0.9878
2020-03-31 14:00:00,Volume Intensity,0.9847
2020-03-31 14:15:00,Volume Intensity,0.8054
2020-03-31 14:30:00,Volume Intensity,0.7991
2020-03-31 14:45:00,Volume Intensity,1.0806
2020-03-31 15:00:00,Volume Intensity,0.8793
2020-03-31 15:15:00,Volume Intensity,0.8319
2020-03-31 15:30:00,Volume Intensity,1.0697
2020-03-31 15:45:00,Volume Intensity,0.64
2020-03-31 16:00:00,Volume Intensity,0.9364
2020-03-31 16:15:00,Volume Intensity,0.6236
2020-03-31 16:30:00,Volume Intensity,0.9084
2020-03-31 16:45:00,Volume Intensity,0.6827
2020-03-31 17:00:00,Volume Intensity,0.8242
2020-03-31 17:15:00,Volume Intensity,1.117
2020-03-31 17:30:00,Volume Intensity,0.7324
2020-03-31 17:45:00,Volume Intensity,0.4647
2020-03-31 18:00:00,Volume Intensity,0.8493
2020-03-31 18:15:00,Volume Intensity,0.8334
2020-03-31 18:30:00,Volume Intensity,0.6494
2020-03-31 18:45:00,Volume Intensity,0.5284
2020-03-31 19:00:00,Volume Intensity,0.9362
2020-03-31 19:15:00,Volume Intensity,0.8826
2020-03-31 19:30:00,Volume Intensity,0.6411
2020-03-31 19:45:00,Volume Intensity,0.4616
2020-03-31 20:00:00,Volume Intensity,0.5779
2020-03-31 20:15:00,Volume Intensity,0.6027
2020-03-31 20:30:00,Volume Intensity,0.6545
2020-03-31 20:45:00,Volume Intensity,0.703
2020-03-31 21:00:00,Volume Intensity,0.5481
2020-03-31 21:15:00,Volume Intensity,0.6482
2020-03-31 21:30:00,Volume Intensity,0.5563
2020-03-31 21:45:00,Volume Intensity,0.779
2020-03-31 22:00:00,Volume Intensity,0.9643
2020-03-31 22:15:00,Volume Intensity,0.6436
2020-03-31 22:30:00,Volume Intensity,0.347
2020-03-31 22:45:00,Volume Intensity,0.5859
2020-03-31 23:00:00,Volume Intensity,0.3077
2020-03-31 23:15:00,Volume Intensity,0.9406
2020-03-31 23:30:00,Volume Intensity,0.4039
2020-03-31 23:45:00,Volume Intensity,0.8589
